40  58  1

40  106 1
40  10  0

40  106 1
40  58  1
40  10  0

18  106 1
18  10  0
62  106 1
62  10  0

18  106 1
18  10  0
40  58  1
62  106 1
62  10  0

18  106 1
18  58  1
18  10  0
62  106 1
62  58  1
62  10  0

18  106 1
18  58  1
18  10  0
40  83  1
62  106 1
62  58  1
62  10  0

18  106 1
18  58  1
18  10  0
40  83  1
40  33  0
62  106 1
62  58  1
62  10  0

18  106 1
18  74  1
18  42  0
18  10  0
40  58  1
62  106 1
62  74  1
62  42  0
62  10  0

18  106 1
18  74  1
18  42  0
18  10  0
40  90  1
40  26  0
62  106 1
62  74  1
62  42  0
62  10  0


